Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.0817E-17,1.3878E-17,0.006223,0,0,0,0.98646,0.0061163,-0.00073023,1.5379E-18,0.0070555,1.8077E-19,0.013146,0,0,0,0,0,0,package://third_assembly/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://third_assembly/meshes/base_link.STL,,base-2,Coordinate System14,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l1,-3.4694E-18,0.018958,0,0,0,0,0.029212,1.5525E-05,-4.5918E-37,-2.6307E-37,1.8884E-05,-3.873E-22,1.5525E-05,0,0,0,0,0,0,package://third_assembly/meshes/l1.STL,1,0.75294,0.75294,1,0,0,0,0,0,0,package://third_assembly/meshes/l1.STL,,1-1,Origin_j13,Axis_j3,j1,revolute,-0.0034011,-0.0042672,0.012446,1.5708,0,-1.0711,base_link,0.47912,0,-0.87775,0,0,0,0,,,,,,,,
l2,4.5228E-08,0.020992,0.0040388,0,0,0,0.044873,2.9955E-05,-7.8771E-11,-8.1499E-11,2.9355E-05,-3.6398E-07,2.7058E-05,0,0,0,0,0,0,package://third_assembly/meshes/l2.STL,1,0.75294,0.75294,1,0,0,0,0,0,0,package://third_assembly/meshes/l2.STL,,2-1,Origin_j23,,j2,revolute,0.00047463,0.036267,0,3.1416,0.49965,3.1416,l1,0,0,0,0,0,0,0,,,,,,,,
l3,1.5869E-07,0.014284,0.0040387,0,0,0,0.044873,2.9955E-05,9.0678E-11,-1.4223E-10,2.9355E-05,-3.6397E-07,2.7058E-05,0,0,0,0,0,0,package://third_assembly/meshes/l3.STL,1,0.75294,0.75294,1,0,0,0,0,0,0,package://third_assembly/meshes/l3.STL,,2-2,Origin_j33,Axis_j33,j3,revolute,0,0.023,0.041707,1.5708,0,2.2676,l2,0,1,0,0,0,0,0,,,,,,,,
l4,-3.7678E-15,8.4655E-16,-0.018642,0,0,0,0.064795,7.987E-05,-5.0822E-21,-3.5152E-20,7.987E-05,-5.9292E-21,1.8835E-05,0,0,0,0,0,0,package://third_assembly/meshes/l4.STL,1,0.75294,0.75294,1,0,0,0,0,0,0,package://third_assembly/meshes/l4.STL,,3-1,Origin_j43,Axis_j43,j4,revolute,0,0.016293,0.063131,3.1416,0,-1.7057,l3,0,0,1,0,0,0,0,,,,,,,,
l5,-6.5526E-08,0.022196,0.0040388,0,0,0,0.044873,2.9955E-05,6.229E-11,8.0734E-12,2.9355E-05,-3.6398E-07,2.7058E-05,0,0,0,0,0,0,package://third_assembly/meshes/l5.STL,1,0.75294,0.75294,1,0,0,0,0,0,0,package://third_assembly/meshes/l5.STL,,2-3,Origin_j53,Axis_j53,j5,revolute,0,0,-0.075664,-1.5708,0,-1.8497,l4,0,1,0,0,0,0,0,,,,,,,,
l6,8.9336E-08,0.021782,0.0040388,0,0,0,0.044873,2.9955E-05,3.0629E-11,-1.066E-10,2.9355E-05,-3.64E-07,2.7058E-05,0,0,0,0,0,0,package://third_assembly/meshes/l6.STL,1,0.75294,0.75294,1,0,0,0,0,0,0,package://third_assembly/meshes/l6.STL,,2-4,Origin_j63,Axis_j63,j6,revolute,0,0.024205,0.034209,1.5708,0,1.677,l5,0,1,0,0,0,0,0,,,,,,,,
l7,-2.4702E-15,2.3592E-15,-0.081558,0,0,0,0.064795,7.987E-05,-6.7763E-21,-1.1858E-20,7.987E-05,-3.1975E-20,1.8835E-05,0,0,0,0,0,0,package://third_assembly/meshes/l7.STL,1,0.75294,0.75294,1,0,0,0,0,0,0,package://third_assembly/meshes/l7.STL,,3-2,Origin_j73,Axis_j73,j7,revolute,0,0.023791,0.00021453,-3.1416,0,1.1842,l6,0,0,1,0,0,0,0,,,,,,,,
l8,1.3167E-08,0.066688,0.0040388,0,0,0,0.044873,2.9955E-05,-7.2764E-11,-4.7665E-11,2.9355E-05,-3.6398E-07,2.7058E-05,0,0,0,0,0,0,package://third_assembly/meshes/l8.STL,1,0.75294,0.75294,1,0,0,0,0,0,0,package://third_assembly/meshes/l8.STL,,2-5,Origin_j83,Axis_j83,j8,revolute,0,0,-0.094089,-1.5708,0,1.1416,l7,0,1,0,0,0,0,0,,,,,,,,
l9,3.6349E-08,0.024436,0.0040387,0,0,0,0.044873,2.9955E-05,-7.3564E-11,-7.8241E-11,2.9355E-05,-3.6399E-07,2.7058E-05,0,0,0,0,0,0,package://third_assembly/meshes/l9.STL,1,0.75294,0.75294,1,0,0,0,0,0,0,package://third_assembly/meshes/l9.STL,,2-6,Origin_j93,Axis_j93,j9,revolute,0,0.068696,0.031555,1.5708,0,-2.2881,l8,0,1,0,0,0,0,0,,,,,,,,
l10,6.5348E-11,0.029669,3.2495E-10,0,0,0,0.088377,7.7145E-05,-3.225E-13,-8.5569E-15,1.2877E-05,-1.9362E-12,7.6969E-05,0,0,0,0,0,0,package://third_assembly/meshes/l10.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://third_assembly/meshes/l10.STL,,grpr-1/Part1-1,Origin_j103,Axis_j103,j10,revolute,0,0.026445,0,1.5708,0,1.6792,l9,0,1,0,0,0,0,0,,,,,,,,
g1,0.014886,-0.0016625,-0.050161,0,0,0,0.023748,9.1684E-06,-1.5551E-21,1.763E-06,9.8848E-06,7.0939E-21,7.5624E-07,0,0,0,0,0,0,package://third_assembly/meshes/g1.STL,0.53725,0.34902,0.33725,1,0,0,0,0,0,0,package://third_assembly/meshes/g1.STL,,grpr-1/Gripp2-1,Origin_g1l3,Axis_g1l3,g1l,revolute,0,0.060136,0,1.5708,0,0.6472,l10,0.60295,0,-0.79778,0,0,0,0,,,,,,,,
g2,0.015228,-0.0016625,-0.049894,0,0,0,0.023748,9.1684E-06,1.1779E-21,1.763E-06,9.8848E-06,-7.5505E-21,7.5624E-07,0,0,0,0,0,0,package://third_assembly/meshes/g2.STL,0.53725,0.34902,0.33725,1,0,0,0,0,0,0,package://third_assembly/meshes/g2.STL,,grpr-1/Gripp-1,Origin_g2l3,Axis_g2l3,g2l,revolute,0,0.060136,0,-1.5708,0,2.4669,l10,0.62468,0,-0.78088,0,0,0,0,,,,,,,,
